x linterp linterpInteg
3.13 -0.993075 0.0200581
3.14 -0.989655 0.0101103
3.15 -0.986235 0.0001966
3.16 -0.982815 -0.00968285
3.17 -0.979395 -0.0195281
3.18 -0.975975 -0.0293392
3.19 -0.972555 -0.039116
3.2 -0.969135 -0.0488587
3.21 -0.965715 -0.0585671
3.22 -0.962295 -0.0682413
3.23 -0.958875 -0.0778814
3.24 -0.955454 -0.0874872
3.25 -0.952034 -0.0970589
3.26 -0.948614 -0.106596
3.27 -0.945194 -0.1161
3.28 -0.941774 -0.125569
3.29 -0.938354 -0.135003
3.3 -0.934934 -0.144404
3.31 -0.931514 -0.153771
3.32 -0.928094 -0.163103
3.33 -0.924674 -0.172401
3.34 -0.921254 -0.181665
3.35 -0.917834 -0.190894
3.36 -0.914413 -0.20009
3.37 -0.910993 -0.209251
3.38 -0.907573 -0.218378
3.39 -0.904153 -0.227471
3.4 -0.900733 -0.236529
3.41 -0.897313 -0.245554
3.42 -0.893893 -0.254544
3.43 -0.890473 -0.2635
3.44 -0.887053 -0.272422
3.45 -0.883633 -0.28131
3.46 -0.880213 -0.290163
3.47 -0.876793 -0.298982
3.48 -0.873372 -0.307767
3.49 -0.869952 -0.316518
3.5 -0.866532 -0.325235
3.51 -0.863112 -0.333917
3.52 -0.859692 -0.342565
3.53 -0.856272 -0.351179
3.54 -0.852852 -0.359759
3.55 -0.849432 -0.368305
3.56 -0.846012 -0.376816
3.57 -0.842592 -0.385293
3.58 -0.839172 -0.393737
3.59 -0.835752 -0.402145
3.6 -0.832332 -0.41052
3.61 -0.828911 -0.41886
3.62 -0.825491 -0.427167
3.63 -0.822071 -0.435439
3.64 -0.818651 -0.443676
3.65 -0.815231 -0.45188
3.66 -0.811811 -0.460049
3.67 -0.808391 -0.468185
3.68 -0.804971 -0.476286
3.69 -0.801551 -0.484352
3.7 -0.798131 -0.492385
3.71 -0.794711 -0.500383
3.72 -0.791291 -0.508348
3.73 -0.78787 -0.516278
3.74 -0.78445 -0.524173
3.75 -0.78103 -0.532035
3.76 -0.77761 -0.539862
3.77 -0.77419 -0.547656
3.78 -0.77077 -0.555415
3.79 -0.76735 -0.563139
3.8 -0.76393 -0.57083
3.81 -0.76051 -0.578486
3.82 -0.75709 -0.586109
3.83 -0.75367 -0.593697
3.84 -0.75025 -0.60125
3.85 -0.746829 -0.60877
3.86 -0.743409 -0.616255
3.87 -0.739989 -0.623707
3.88 -0.736569 -0.631124
3.89 -0.732547 -0.638506
3.9 -0.723703 -0.645852
3.91 -0.71486 -0.653133
3.92 -0.706016 -0.660326
3.93 -0.697173 -0.66743
3.94 -0.688329 -0.674446
3.95 -0.679486 -0.681374
3.96 -0.670643 -0.688213
3.97 -0.661799 -0.694964
3.98 -0.652956 -0.701626
3.99 -0.644112 -0.7082
4 -0.635269 -0.714685
4.01 -0.626425 -0.721082
4.02 -0.617582 -0.72739
4.03 -0.608738 -0.73361
4.04 -0.599895 -0.739742
4.05 -0.591052 -0.745785
4.06 -0.582208 -0.75174
4.07 -0.573365 -0.757606
4.08 -0.564521 -0.763384
4.09 -0.555678 -0.769073
4.1 -0.546834 -0.774674
4.11 -0.537991 -0.780187
4.12 -0.529148 -0.785611
4.13 -0.520304 -0.790947
4.14 -0.511461 -0.796194
4.15 -0.502617 -0.801353
4.16 -0.493774 -0.806423
4.17 -0.48493 -0.811405
4.18 -0.476087 -0.816299
4.19 -0.467243 -0.821104
4.2 -0.4584 -0.825821
4.21 -0.449557 -0.830449
4.22 -0.440713 -0.834989
4.23 -0.43187 -0.83944
4.24 -0.423026 -0.843803
4.25 -0.414183 -0.848077
4.26 -0.405339 -0.852263
4.27 -0.396496 -0.856361
4.28 -0.387653 -0.86037
4.29 -0.378809 -0.864291
4.3 -0.369966 -0.868123
4.31 -0.361122 -0.871867
4.32 -0.352279 -0.875522
4.33 -0.343435 -0.87909
4.34 -0.334592 -0.882568
4.35 -0.325749 -0.885958
4.36 -0.316905 -0.88926
4.37 -0.308062 -0.892473
4.38 -0.299218 -0.895598
4.39 -0.290375 -0.898634
4.4 -0.281531 -0.901582
4.41 -0.272688 -0.904442
4.42 -0.263844 -0.907213
4.43 -0.255001 -0.909896
4.44 -0.246158 -0.91249
4.45 -0.237314 -0.914996
4.46 -0.228471 -0.917413
4.47 -0.219627 -0.919742
4.48 -0.210784 -0.921982
4.49 -0.20194 -0.924135
4.5 -0.193097 -0.926198
4.51 -0.184254 -0.928173
4.52 -0.17541 -0.93006
4.53 -0.166567 -0.931858
4.54 -0.157723 -0.933568
4.55 -0.14888 -0.93519
4.56 -0.140036 -0.936723
4.57 -0.131193 -0.938167
4.58 -0.122349 -0.939523
4.59 -0.113506 -0.940791
4.6 -0.104663 -0.94197
4.61 -0.0958192 -0.943061
4.62 -0.0869758 -0.944064
4.63 -0.0781323 -0.944978
4.64 -0.0692889 -0.945803
4.65 -0.0604454 -0.94654
4.66 -0.051602 -0.947189
4.67 -0.0426459 -0.947749
4.68 -0.0334646 -0.94822
4.69 -0.0242832 -0.948601
4.7 -0.0151018 -0.94889
4.71 -0.00592046 -0.949087
4.72 0.0032609 -0.949192
4.73 0.0124423 -0.949205
4.74 0.0216236 -0.949127
4.75 0.030805 -0.948956
4.76 0.0399864 -0.948694
4.77 0.0491677 -0.94834
4.78 0.0583491 -0.947894
4.79 0.0675305 -0.947357
4.8 0.0767118 -0.946727
4.81 0.0858932 -0.946006
4.82 0.0950746 -0.945193
4.83 0.104256 -0.944288
4.84 0.113437 -0.943292
4.85 0.122619 -0.942203
4.86 0.1318 -0.941023
4.87 0.140981 -0.939751
4.88 0.150163 -0.938387
4.89 0.159344 -0.936931
4.9 0.168526 -0.935384
4.91 0.177707 -0.933744
4.92 0.186888 -0.932013
4.93 0.19607 -0.93019
4.94 0.205251 -0.928275
4.95 0.214432 -0.926269
4.96 0.223614 -0.92417
4.97 0.232795 -0.92198
4.98 0.241976 -0.919698
4.99 0.251158 -0.917324
5 0.260339 -0.914859
5.01 0.269521 -0.912301
5.02 0.278702 -0.909652
5.03 0.287883 -0.906911
5.04 0.297065 -0.904078
5.05 0.306246 -0.901153
5.06 0.315427 -0.898136
5.07 0.324609 -0.895028
5.08 0.33379 -0.891828
5.09 0.342971 -0.888536
5.1 0.352153 -0.885152
5.11 0.361334 -0.881677
5.12 0.370516 -0.878109
5.13 0.379697 -0.87445
5.14 0.388878 -0.870699
5.15 0.39806 -0.866856
5.16 0.407241 -0.862921
5.17 0.416422 -0.858895
5.18 0.425604 -0.854776
5.19 0.434785 -0.850566
5.2 0.443966 -0.846264
5.21 0.453148 -0.841871
5.22 0.462329 -0.837385
5.23 0.471511 -0.832808
5.24 0.480692 -0.828138
5.25 0.489873 -0.823377
5.26 0.499055 -0.818525
5.27 0.508236 -0.81358
5.28 0.517417 -0.808543
5.29 0.526599 -0.803415
5.3 0.53578 -0.798195
5.31 0.544962 -0.792883
5.32 0.554143 -0.787479
5.33 0.563324 -0.781984
5.34 0.572506 -0.776397
5.35 0.581687 -0.770717
5.36 0.590868 -0.764947
5.37 0.60005 -0.759084
5.38 0.609231 -0.753129
5.39 0.618412 -0.747083
5.4 0.627594 -0.740945
5.41 0.636775 -0.734715
5.42 0.645957 -0.728393
5.43 0.655138 -0.721979
5.44 0.664319 -0.715474
5.45 0.670755 -0.708876
5.46 0.674995 -0.702201
5.47 0.679234 -0.695472
5.48 0.683474 -0.688701
5.49 0.687713 -0.681887
5.5 0.691953 -0.675031
5.51 0.696192 -0.668133
5.52 0.700432 -0.661192
5.53 0.704672 -0.654209
5.54 0.708911 -0.647184
5.55 0.713151 -0.640116
5.56 0.71739 -0.633006
5.57 0.72163 -0.625853
